5,541
3,583
5,587
3,603
2,613
5,621
5,641
1,749
1,753
5,787
3,807
3,813
3,829
1,831
1,839
2,875
1,885
5,919
5,921
3,1007
1,1009
5,1011
1,1015
1,1041
2,1043
1,1049
1,1071
3,1121
3,1135
3,1143
5,1147
2,1151
1,1193
2,1197
1,1249
1,1259
1,1285
2,1303
2,1349
5,1361
2,1403
1,1405
1,1415
2,1451
1,1457
1,1485
5,1565
2,1663
5,1699
1,1701
1,1711
2,1719
1,1733
1,1831
1,1833
5,1855
3,1891
1,2019
1,2133
3,2151
1,2251
2,2269
3,2313
1,2353
1,2425
1,2475
5,2511
1,2601
2,2605
3,2629
1,2689
5,2845
3,2929
3,3013
1,3035
2,3107
2,3123
2,3145
2,3207
5,3265
5,3319
2,3461
3,3497
5,3961
3,4063
3,4331
2,4479
2,5833
2,5953
2,7547
5,7993
2,8187
5,9263
3,9815
5,12575
2,12933
2,15423
3,16921
3,17945
5,20859
3,21371
2,23447
5,26065
5,26205
5,27471
5,28165
3,29155
3,29589
5,29657
5,30623
2,34169
3,35867
3,37231
3,38051
3,38157
****109
2,377
2,381
5,399
3,531
2,593
5,595
3,633
5,671
2,671
5,689
3,701
2,705
1,753
5,761
5,783
3,803
5,807
3,823
2,839
1,875
1,885
5,901
1,987
1,1003
2,1007
1,1045
3,1079
1,1101
2,1131
1,1149
1,1175
3,1201
5,1203
1,1263
1,1265
1,1295
1,1297
1,1333
1,1355
2,1407
3,1429
2,1445
5,1517
2,1567
1,1577
2,1595
1,1675
1,1699
1,1705
2,1713
1,1939
1,1953
1,2009
2,2085
5,2113
1,2399
2,2413
3,2745
5,2791
3,2859
3,2897
5,2983
5,3081
2,3087
1,3523
2,3655
1,3691
1,3923
5,4151
1,4723
1,5007
1,5243
3,5631
1,5713
1,6757
2,6865
3,7461
5,7629
2,8127
1,8181
3,8225
2,8239
5,9279
5,9451
5,10083
5,10851
2,11097
2,11477
3,11843
2,12529
2,13823
5,15723
5,15791
3,15977
3,16625
5,16651
3,16909
2,17069
3,17203
2,18177
2,18273
3,19451
3,19811
5,20411
3,20799
2,21135
5,21461
3,21887
3,25697
2,26373
3,26779
5,27305
2,33571
5,34487
3,35215
5,35459
5,38325
****110
3,365
2,379
2,379
5,399
5,505
2,579
5,721
1,757
2,779
5,787
2,791
5,801
1,813
3,813
5,821
1,831
5,849
1,863
1,865
2,891
3,947
3,957
1,979
3,1055
5,1063
2,1079
2,1169
5,1201
2,1223
5,1245
3,1253
2,1255
1,1295
1,1323
